Name,no_deg_bound,deg_bound4,deg_bound10,deg_bound15,max_deg
r1n2_1,-1.0,1.111745573,-1.0,-1.0,-1
r1n3_1,0.012364895,0.000955843,0.002047414,0.0025728,2
r1n3_3,0.00508815,0.000857382,-1.0,-1.0,2
r1n4_3,-1.0,0.001922797,-1.0,-1.0,-1
r1n4_1,-1.0,0.005354797,-1.0,-1.0,-1
r1n4_7,-1.0,0.005876674,-1.0,-1.0,-1
r2n4_01,-1.0,0.01748494,-1.0,-1.0,-1
r1n5_03,-1.0,0.008244939,-1.0,-1.0,-1
r1n5_07,-1.0,0.00837579,-1.0,-1.0,-1
r2n4_03,-1.0,0.015145638,-1.0,-1.0,-1
r2n4_1e,-1.0,0.02373174,-1.0,-1.0,-1
r2n4_1f,-1.0,0.033131045,-1.0,-1.0,-1
r2n4_0b,-1.0,0.02721969,-1.0,-1.0,-1
r1n3_7,-1.0,0.004204731,-1.0,-1.0,-1
r0n1_1,-1.0,0.000130421,-1.0,-1.0,-1
r2n5_001,-1.0,0.031096496,-1.0,-1.0,-1
r1n6_07,-1.0,0.019995767,-1.0,-1.0,-1
r1n2_3,-1.0,0.000510037,-1.0,-1.0,-1
r2n5_003,-1.0,0.046340835,-1.0,-1.0,-1
r2n4_07,-1.0,0.024090975,-1.0,-1.0,-1
r2n5_013,-1.0,0.120940524,-1.0,-1.0,-1
r2n5_007,-1.0,0.08995398,-1.0,-1.0,-1
r1n4_f,-1.0,0.217307946,-1.0,-1.0,-1
r1n5_01,-1.0,0.255902709,-1.0,-1.0,-1
r1n5_0f,-1.0,0.360246906,-1.0,-1.0,-1
r2n5_07e,-1.0,0.086148625,-1.0,-1.0,-1
r1n6_03,-1.0,0.302463838,-1.0,-1.0,-1
r2n5_1ef,-1.0,0.0969237,-1.0,-1.0,-1
r2n5_036,-1.0,0.086282657,-1.0,-1.0,-1
r2n4_3f,-1.0,0.393939029,-1.0,-1.0,-1
r2n5_1ff,-1.0,0.289412621,-1.0,-1.0,-1
r2n5_037,-1.0,0.080912021,-1.0,-1.0,-1
r2n5_07f,-1.0,0.102298018,-1.0,-1.0,-1
r2n6_0003,-1.0,0.161964652,-1.0,-1.0,-1
r1n6_0f,-1.0,0.314794894,-1.0,-1.0,-1
r2n6_0001,-1.0,0.620898274,-1.0,-1.0,-1
r2n5_00f,-1.0,0.330032933,-1.0,-1.0,-1
r2n6_0023,-1.0,0.116942877,-1.0,-1.0,-1
r2n6_0007,-1.0,0.211731936,-1.0,-1.0,-1
r2n6_0066,-1.0,0.197743186,-1.0,-1.0,-1
r2n6_3dff,-1.0,0.668275083,-1.0,-1.0,-1
r2n6_0067,-1.0,0.22865334,-1.0,-1.0,-1
r2n6_00ee,-1.0,0.222363928,-1.0,-1.0,-1
r2n7_000003,-1.0,1.988985211,-1.0,-1.0,-1
r2n7_000007,-1.0,0.604970437,-1.0,-1.0,-1
r2n5_0b7,-1.0,0.394796513,-1.0,-1.0,-1
r2n6_0fdf,-1.0,0.412679372,-1.0,-1.0,-1
r2n6_000f,-1.0,1.39339299,-1.0,-1.0,-1
r2n6_06cf,-1.0,0.455917467,-1.0,-1.0,-1
r2n6_0fff,-1.0,0.449447193,-1.0,-1.0,-1
r2n6_0fdc,-1.0,1.457396555,-1.0,-1.0,-1
r2n6_00ef,-1.0,0.267759848,-1.0,-1.0,-1
