Name,no_deg_bound,deg_bound4,deg_bound10,deg_bound15,max_deg
r1n2_1,-1.0,-1.0,1.001213916,-1.0,-1
r1n3_1,0.012364895,0.001838353,0.001077415,0.0025728,2
r1n3_3,0.00508815,0.000606819,0.000979974,-1.0,2
r1n4_3,-1.0,-1.0,0.002413465,-1.0,-1
r1n4_1,-1.0,-1.0,0.00694065,-1.0,-1
r1n4_7,-1.0,-1.0,0.007612829,-1.0,-1
r2n4_01,-1.0,-1.0,0.020540517,-1.0,-1
r1n5_03,-1.0,-1.0,0.012846336,-1.0,-1
r1n5_07,-1.0,-1.0,0.013197521,-1.0,-1
r2n4_03,-1.0,-1.0,0.019954619,-1.0,-1
r2n4_1e,-1.0,-1.0,0.028590723,-1.0,-1
r2n4_1f,-1.0,-1.0,0.046135717,-1.0,-1
r2n4_0b,-1.0,-1.0,0.031480185,-1.0,-1
r1n3_7,-1.0,-1.0,0.00481731,-1.0,-1
r0n1_1,-1.0,-1.0,0.000120332,-1.0,-1
r2n5_001,-1.0,-1.0,0.052660461,-1.0,-1
r1n6_07,-1.0,-1.0,0.038018869,-1.0,-1
r1n2_3,-1.0,-1.0,0.000407566,-1.0,-1
r2n5_003,-1.0,-1.0,0.084092015,-1.0,-1
r2n4_07,-1.0,-1.0,0.028484702,-1.0,-1
r2n5_013,-1.0,-1.0,0.083897952,-1.0,-1
r2n5_007,-1.0,-1.0,0.157221091,-1.0,-1
r1n4_f,-1.0,-1.0,0.30584984,-1.0,-1
r1n5_01,-1.0,-1.0,0.41182597,-1.0,-1
r1n5_0f,-1.0,-1.0,1.153597928,-1.0,-1
r2n5_07e,-1.0,-1.0,0.145506413,-1.0,-1
r1n6_03,-1.0,-1.0,0.895764613,-1.0,-1
r2n5_1ef,-1.0,-1.0,0.172704405,-1.0,-1
r2n5_036,-1.0,-1.0,0.149916796,-1.0,-1
r2n4_3f,-1.0,-1.0,0.8422481,-1.0,-1
r2n5_1ff,-1.0,-1.0,0.505887799,-1.0,-1
r2n5_037,-1.0,-1.0,0.132087878,-1.0,-1
r2n5_07f,-1.0,-1.0,0.196277396,-1.0,-1
r2n6_0003,-1.0,-1.0,0.388510644,-1.0,-1
r1n6_0f,-1.0,-1.0,0.754188367,-1.0,-1
r2n6_0001,-1.0,-1.0,0.93709672,-1.0,-1
r2n5_00f,-1.0,-1.0,0.63188425,-1.0,-1
r2n6_0023,-1.0,-1.0,0.236463546,-1.0,-1
r2n6_0007,-1.0,-1.0,0.498445062,-1.0,-1
r2n6_0066,-1.0,-1.0,0.459779494,-1.0,-1
r2n6_3dff,-1.0,-1.0,0.961113826,-1.0,-1
r2n6_0067,-1.0,-1.0,0.500831216,-1.0,-1
r2n6_00ee,-1.0,-1.0,0.672368265,-1.0,-1
r2n7_000003,-1.0,-1.0,3.501019945,-1.0,-1
r2n7_000007,-1.0,-1.0,1.691941996,-1.0,-1
r2n5_0b7,-1.0,-1.0,0.822930599,-1.0,-1
r2n6_0fdf,-1.0,-1.0,1.021554668,-1.0,-1
r2n6_000f,-1.0,-1.0,3.237847545,-1.0,-1
r2n6_06cf,-1.0,-1.0,1.030812361,-1.0,-1
r2n6_0fff,-1.0,-1.0,1.132408129,-1.0,-1
r2n6_0fdc,-1.0,-1.0,1.429944617,-1.0,-1
r2n6_00ef,-1.0,-1.0,0.594806842,-1.0,-1
r2n6_3dfe,-1.0,-1.0,1.02241024,-1.0,-1
r2n7_000043,-1.0,-1.0,1.5353615,-1.0,-1
r2n6_06ef,-1.0,-1.0,1.94791722,-1.0,-1
r2n6_01fe,-1.0,-1.0,1.572135922,-1.0,-1
r2n6_01ff,-1.0,-1.0,1.989112185,-1.0,-1
r2n6_0267,-1.0,-1.0,1.082274965,-1.0,-1
r2n6_3fff,-1.0,-1.0,6.923767533,-1.0,-1
r2n7_0001cf,-1.0,-1.0,2.509170909,-1.0,-1
r2n7_0008c7,-1.0,-1.0,1.957152484,-1.0,-1
r2n7_0019cf,-1.0,-1.0,2.559549766,-1.0,-1
r2n7_003b9f,-1.0,-1.0,4.51325185,-1.0,-1
r2n7_0f7fff,-1.0,-1.0,5.869450493,-1.0,-1
r2n7_003bdf,-1.0,-1.0,2.6559584,-1.0,-1
r2n7_007fbc,-1.0,-1.0,6.498851425,-1.0,-1
r2n7_0003df,-1.0,-1.0,3.518031782,-1.0,-1
r1n5_1f,-1.0,-1.0,18.921450338,-1.0,-1
r1n6_1f,-1.0,-1.0,24.224048588,-1.0,-1
r1n6_01,-1.0,-1.0,22.205690969,-1.0,-1
r2n6_001f,-1.0,-1.0,30.393828698,-1.0,-1
r3n6_00001,-1.0,-1.0,8.822436862,-1.0,-1
r2n5_3ff,-1.0,-1.0,19.437492728,-1.0,-1
r2n7_000001,-1.0,-1.0,39.874946385,-1.0,-1
r2n6_16ef,-1.0,-1.0,30.675449981,-1.0,-1
r1n7_03,-1.0,-1.0,34.23229076,-1.0,-1
r2n7_0007fe,-1.0,-1.0,50.757803149,-1.0,-1
r2n7_0007ff,-1.0,-1.0,57.89568195,-1.0,-1
r2n7_0099cf,-1.0,-1.0,44.177525519,-1.0,-1
r3n6_00003,-1.0,-1.0,11.789992304,-1.0,-1
r3n6_00007,-1.0,-1.0,17.90828088,-1.0,-1
r3n6_00013,-1.0,-1.0,9.079385098,-1.0,-1
r3n7_000000003,-1.0,-1.0,30.714055972,-1.0,-1
r3n6_00036,-1.0,-1.0,23.627799597,-1.0,-1
r3n6_0000f,-1.0,-1.0,23.567141899,-1.0,-1
r3n6_00037,-1.0,-1.0,12.550319291,-1.0,-1
r3n6_00413,-1.0,-1.0,37.961545643,-1.0,-1
r3n6_0007e,-1.0,-1.0,22.662136825,-1.0,-1
r3n6_0007f,-1.0,-1.0,25.164569319,-1.0,-1
r3n6_00c36,-1.0,-1.0,50.95816451,-1.0,-1
r3n6_00c37,-1.0,-1.0,30.025465898,-1.0,-1
r3n7_000008023,-1.0,-1.0,69.86024963,-1.0,-1
r3n6_000b7,-1.0,-1.0,45.308327291,-1.0,-1
r3n6_001ef,-1.0,-1.0,29.010717204,-1.0,-1
r3n6_02cb3,-1.0,-1.0,26.976571649,-1.0,-1
r3n6_01c7e,-1.0,-1.0,52.26168423,-1.0,-1
r3n6_01c7f,-1.0,-1.0,59.617773606,-1.0,-1
r3n6_079e0,-1.0,-1.0,111.290471974,-1.0,-1
r3n6_0fff0,-1.0,-1.0,75.626611604,-1.0,-1
r3n6_001ff,-1.0,-1.0,39.035682717,-1.0,-1
r3n6_079e3,-1.0,-1.0,33.471174733,-1.0,-1
r3n6_079ef,-1.0,-1.0,55.227421093,-1.0,-1
r3n6_02cb7,-1.0,-1.0,91.536486146,-1.0,-1
r3n6_07dfd,-1.0,-1.0,36.737147431,-1.0,-1
r3n7_000000067,-1.0,-1.0,57.518678963,-1.0,-1
r3n6_07df3,-1.0,-1.0,78.795347662,-1.0,-1
r3n6_003ff,-1.0,-1.0,148.130205776,-1.0,-1
r3n7_000018066,-1.0,-1.0,169.168939946,-1.0,-1
r3n6_0fff7,-1.0,-1.0,45.158552611,-1.0,-1
r1n6_3f,-1.0,-1.0,1320.113234893,-1.0,-1
r3n6_7fffe,-1.0,-1.0,252.152230199,-1.0,-1
r3n6_379ff,-1.0,-1.0,93.188914206,-1.0,-1
r2n6_7fff,-1.0,-1.0,1439.722500367,-1.0,-1
r3n7_000018067,-1.0,-1.0,122.015918609,-1.0,-1
r3n6_07dff,-1.0,-1.0,126.265666113,-1.0,-1
r2n7_05bbdf,-1.0,-1.0,-1.0,-1.0,-1
r3n6_0ffff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7efdf,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7efff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7efdd,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000fff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00003f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0003f0fc3,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0001b86ed,-1.0,-1.0,-1.0,-1.0,-1
r3n6_37dff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0005b96e0,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0005b96e7,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000f7bde0,-1.0,-1.0,-1.0,-1.0,-1
r3n6_7ffff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_12cb7,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000003dfe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0165996ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0005b96ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0165b96ee,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000007fff,-1.0,-1.0,-1.0,-1.0,-1
r3n6_fffff,-1.0,-1.0,-1.0,-1.0,-1
r1n7_7f,-1.0,-1.0,-1.0,-1.0,-1
r0n2_1,-1.0,-1.0,-1.0,-1.0,-1
r0n3_1,-1.0,-1.0,-1.0,-1.0,-1
r0n4_1,-1.0,-1.0,-1.0,-1.0,-1
r0n5_1,-1.0,-1.0,-1.0,-1.0,-1
r0n6_1,-1.0,-1.0,-1.0,-1.0,-1
r0n7_1,-1.0,-1.0,-1.0,-1.0,-1
r1n7_01,-1.0,-1.0,-1.0,-1.0,-1
r1n7_07,-1.0,-1.0,-1.0,-1.0,-1
r1n7_0f,-1.0,-1.0,-1.0,-1.0,-1
r1n7_1f,-1.0,-1.0,-1.0,-1.0,-1
r1n7_3f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00000f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00001f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0000c6,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0000c7,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0001ce,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0003de,-1.0,-1.0,-1.0,-1.0,-1
r2n7_00198f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_003b9c,-1.0,-1.0,-1.0,-1.0,-1
r2n7_007fbf,-1.0,-1.0,-1.0,-1.0,-1
r2n7_007fff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_01b3de,-1.0,-1.0,-1.0,-1.0,-1
r2n7_01b3df,-1.0,-1.0,-1.0,-1.0,-1
r2n7_01bbdf,-1.0,-1.0,-1.0,-1.0,-1
r2n7_03f73f,-1.0,-1.0,-1.0,-1.0,-1
r2n7_03f7fe,-1.0,-1.0,-1.0,-1.0,-1
r2n7_03f7ff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_03ffff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0f7fbf,-1.0,-1.0,-1.0,-1.0,-1
r2n7_0fffff,-1.0,-1.0,-1.0,-1.0,-1
r2n7_1fffff,-1.0,-1.0,-1.0,-1.0,-1
r3n4_f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000001,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000007,-1.0,-1.0,-1.0,-1.0,-1
r3n7_00000000f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_00000001f,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000023,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000066,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000000ee,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000000ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000001fe,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000001ff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000267,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000006cf,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000006ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000fdc,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000000fdf,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000016ef,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000003dff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_000003fff,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000380ee,-1.0,-1.0,-1.0,-1.0,-1
r3n7_0000380ef,-1.0,-1.0,-1.0,-1.0,-1
